[16, 2, 7, 157, 7, 158, 0, 0]
[17, 2, 123, 125, 128, 130, 133, 0]
[19, 2, 0, 104, 1, 0, 0, 68]
[16, 2, 7, 151, 7, 155, 0, 0]
[17, 2, 135, 137, 142, 145, 147, 0]
[19, 3, 0, 99, 129, 128, 128, 196]
[16, 2, 7, 149, 7, 153, 0, 0]
[17, 2, 149, 151, 153, 154, 156, 0]
[19, 2, 0, 103, 1, 0, 0, 3]
[16, 2, 7, 153, 7, 154, 0, 0]
[17, 2, 158, 159, 160, 162, 163, 0]
[19, 3, 0, 99, 129, 128, 128, 131]
[16, 2, 7, 151, 7, 153, 0, 0]
[17, 2, 163, 164, 164, 165, 165, 0]
[19, 2, 0, 103, 1, 0, 0, 156]
[16, 2, 7, 148, 7, 151, 0, 0]
[17, 2, 165, 164, 164, 163, 162, 0]
[19, 3, 0, 99, 129, 128, 128, 156]
[16, 2, 7, 149, 7, 151, 0, 0]
[17, 2, 161, 160, 159, 157, 156, 0]
[19, 2, 0, 103, 1, 0, 0, 9]
[16, 3, 0, 0, 0, 0, 0, 0]
[17, 2, 159, 157, 156, 155, 151, 0]
[19, 3, 0, 99, 129, 128, 128, 137]
[16, 2, 7, 150, 7, 153, 0, 0]
[17, 3, 0, 20, 0, 0, 0, 0]
[19, 2, 0, 103, 1, 0, 0, 14]
[16, 2, 7, 149, 7, 153, 0, 0]
[17, 2, 153, 151, 150, 148, 146, 0]
[19, 3, 0, 99, 129, 128, 128, 142]
[16, 2, 7, 152, 7, 156, 0, 0]
[17, 2, 144, 142, 140, 138, 135, 0]
[19, 2, 0, 103, 1, 0, 0, 212]
[16, 2, 7, 155, 7, 157, 0, 0]
[17, 2, 133, 131, 128, 126, 124, 0]
[19, 3, 0, 99, 129, 128, 128, 212]
[16, 2, 7, 151, 7, 153, 0, 0]
[17, 2, 121, 119, 117, 114, 112, 0]
[19, 2, 0, 104, 1, 0, 0, 204]
[16, 2, 7, 149, 7, 151, 0, 0]
[17, 2, 110, 108, 106, 104, 102, 0]
[19, 3, 0, 99, 129, 128, 128, 204]
[16, 2, 7, 153, 7, 155, 0, 0]
[17, 2, 100, 99, 97, 95, 94, 0]
[19, 2, 0, 105, 1, 0, 0, 0]
[16, 2, 7, 151, 7, 157, 0, 0]
[17, 2, 93, 92, 91, 90, 90, 0]
[19, 3, 0, 99, 129, 128, 128, 128]
[16, 2, 7, 146, 7, 152, 0, 0]
[17, 2, 89, 89, 89, 89, 89, 0]
[19, 2, 0, 106, 1, 0, 0, 128]
[16, 2, 7, 149, 7, 152, 0, 0]
[17, 2, 89, 89, 89, 90, 90, 0]
[19, 3, 0, 99, 129, 128, 128, 128]
[16, 2, 7, 153, 7, 154, 0, 0]
[17, 2, 90, 91, 92, 92, 93, 0]
[19, 2, 0, 107, 1, 0, 0, 36]
[16, 2, 7, 151, 7, 153, 0, 0]
[17, 2, 94, 95, 96, 97, 99, 0]
[19, 3, 0, 99, 129, 128, 128, 164]
[16, 2, 7, 152, 7, 154, 0, 0]
[17, 2, 100, 102, 104, 106, 108, 0]
[19, 2, 0, 108, 1, 0, 0, 203]
[16, 2, 7, 156, 7, 157, 0, 0]
[17, 2, 110, 113, 115, 118, 120, 0]
[19, 3, 0, 99, 129, 128, 128, 203]
[16, 2, 7, 154, 7, 156, 0, 0]
[17, 2, 123, 125, 128, 130, 133, 0]
[19, 2, 0, 108, 1, 0, 0, 212]
[16, 4, 0, 60, 0, 0, 0, 0]
[17, 2, 135, 137, 142, 145, 147, 0]
[19, 3, 0, 99, 129, 128, 128, 212]
[16, 5, 0, 11, 0, 8, 0, 0]
[17, 2, 149, 151, 153, 154, 156, 0]
[19, 2, 0, 108, 1, 0, 0, 252]
[16, 2, 7, 152, 7, 156, 0, 0]
[17, 2, 158, 159, 160, 162, 163, 0]
[19, 3, 0, 99, 129, 128, 128, 252]
[16, 2, 7, 142, 7, 149, 0, 0]
[17, 2, 163, 164, 164, 165, 165, 0]
[19, 2, 0, 107, 1, 0, 0, 243]
[16, 2, 7, 126, 7, 137, 0, 0]
[17, 2, 165, 164, 164, 163, 162, 0]
[19, 3, 0, 99, 129, 128, 128, 243]
[16, 2, 7, 100, 7, 118, 0, 0]
[17, 2, 161, 160, 159, 157, 156, 0]
[19, 2, 0, 106, 1, 0, 0, 179]
[16, 2, 7, 72, 7, 98, 0, 0]
[17, 2, 159, 157, 156, 155, 151, 0]
[19, 3, 0, 99, 129, 128, 128, 179]
[16, 2, 7, 50, 7, 84, 0, 0]
[17, 3, 0, 20, 0, 0, 0, 0]
[19, 2, 0, 106, 1, 0, 0, 83]
[16, 2, 7, 36, 7, 74, 0, 0]
[17, 2, 153, 151, 150, 148, 146, 0]
[19, 3, 0, 99, 129, 128, 128, 211]
[16, 2, 7, 37, 7, 71, 0, 0]
[17, 2, 144, 142, 140, 138, 135, 0]
[19, 2, 0, 105, 1, 0, 0, 49]
[16, 2, 7, 79, 7, 97, 0, 0]
[17, 2, 133, 131, 128, 126, 124, 0]
[19, 3, 0, 99, 129, 128, 128, 177]
[16, 2, 7, 151, 7, 148, 0, 0]
[17, 2, 121, 119, 117, 114, 112, 0]
[19, 2, 0, 105, 1, 0, 0, 244]
[16, 2, 7, 216, 7, 196, 0, 0]
[17, 2, 110, 108, 106, 104, 102, 0]
[19, 3, 0, 99, 129, 128, 128, 244]
[16, 2, 8, 19, 7, 236, 0, 0]
[17, 2, 100, 99, 97, 95, 94, 0]
[19, 2, 0, 105, 1, 0, 0, 179]
[16, 2, 8, 102, 8, 35, 0, 0]
[17, 2, 93, 92, 91, 90, 90, 0]
[19, 3, 0, 99, 129, 128, 128, 179]
[16, 2, 8, 198, 8, 104, 0, 0]
[17, 2, 89, 89, 89, 89, 89, 0]
[19, 2, 0, 104, 1, 0, 0, 107]
[16, 2, 9, 30, 8, 167, 0, 0]
[17, 2, 89, 89, 89, 90, 90, 0]
[19, 3, 0, 99, 129, 128, 128, 235]
[16, 2, 9, 114, 8, 226, 0, 0]
[17, 2, 90, 91, 92, 92, 93, 0]
[19, 2, 0, 104, 1, 0, 0, 78]
