[16, 2, 7, 157, 7, 158, 0, 0]
[16, 2, 7, 151, 7, 155, 0, 0]
[16, 2, 7, 149, 7, 153, 0, 0]
[16, 2, 7, 153, 7, 154, 0, 0]
[16, 2, 7, 151, 7, 153, 0, 0]
[16, 2, 7, 148, 7, 151, 0, 0]
[16, 2, 7, 149, 7, 151, 0, 0]
[16, 3, 0, 0, 0, 0, 0, 0]
[16, 2, 7, 150, 7, 153, 0, 0]
[16, 2, 7, 149, 7, 153, 0, 0]
[16, 2, 7, 152, 7, 156, 0, 0]
[16, 2, 7, 155, 7, 157, 0, 0]
[17, 2, 123, 125, 128, 130, 133, 0]
[16, 2, 7, 151, 7, 153, 0, 0]
[16, 2, 7, 149, 7, 151, 0, 0]
[16, 2, 7, 153, 7, 155, 0, 0]
[19, 2, 132, 127, 122, 117, 111, 7]
[16, 2, 7, 151, 7, 157, 0, 0]
[16, 2, 7, 146, 7, 152, 0, 0]
[16, 2, 7, 149, 7, 152, 0, 0]
[16, 2, 7, 153, 7, 154, 0, 0]
[16, 2, 7, 151, 7, 153, 0, 0]
[16, 2, 7, 152, 7, 154, 0, 0]
[16, 2, 7, 156, 7, 157, 0, 0]
[16, 2, 7, 154, 7, 156, 0, 0]
[16, 4, 0, 60, 0, 0, 0, 0]
[16, 5, 0, 11, 0, 8, 0, 0]
[16, 2, 7, 152, 7, 156, 0, 0]
[16, 2, 7, 142, 7, 149, 0, 0]
[16, 2, 7, 126, 7, 137, 0, 0]
[16, 2, 7, 100, 7, 118, 0, 0]
[16, 2, 7, 72, 7, 98, 0, 0]
[16, 2, 7, 50, 7, 84, 0, 0]
[16, 2, 7, 36, 7, 74, 0, 0]
[16, 2, 7, 37, 7, 71, 0, 0]
[16, 2, 7, 79, 7, 97, 0, 0]
[16, 2, 7, 151, 7, 148, 0, 0]
[19, 2, 106, 101, 97, 94, 91, 4]
[16, 2, 7, 216, 7, 196, 0, 0]
[17, 2, 135, 137, 142, 145, 147, 0]
[16, 2, 8, 19, 7, 236, 0, 0]
[16, 2, 8, 102, 8, 35, 0, 0]
[16, 2, 8, 198, 8, 104, 0, 0]
[16, 2, 9, 30, 8, 167, 0, 0]
[16, 2, 9, 114, 8, 226, 0, 0]
[16, 2, 9, 197, 9, 28, 0, 0]
[16, 2, 10, 18, 9, 81, 0, 0]
[16, 2, 10, 90, 9, 133, 0, 0]
[16, 2, 10, 146, 9, 176, 0, 0]
[16, 2, 10, 160, 9, 190, 0, 0]
[16, 2, 10, 136, 9, 175, 0, 0]
[16, 2, 10, 83, 9, 138, 0, 0]
[16, 2, 10, 2, 9, 81, 0, 0]
[16, 2, 9, 169, 9, 19, 0, 0]
[16, 2, 9, 90, 8, 220, 1, 0]
[16, 2, 9, 1, 8, 160, 1, 0]
[16, 2, 8, 145, 8, 81, 1, 0]
[16, 2, 8, 28, 8, 0, 1, 0]
[16, 2, 7, 190, 7, 189, 1, 0]
[19, 2, 90, 89, 89, 90, 91, 4]
[16, 2, 7, 104, 7, 126, 0, 0]
[16, 2, 7, 17, 7, 64, 0, 0]
[17, 2, 149, 151, 153, 154, 156, 0]
[16, 2, 6, 194, 7, 8, 0, 0]
[16, 2, 6, 144, 6, 226, 0, 0]
[16, 2, 6, 148, 6, 224, 0, 0]
[16, 2, 6, 198, 7, 1, 0, 0]
[16, 2, 6, 245, 7, 36, 0, 0]
[16, 2, 7, 21, 7, 60, 0, 0]
[16, 2, 7, 65, 7, 90, 0, 0]
[16, 2, 7, 120, 7, 127, 0, 0]
[16, 2, 7, 148, 7, 149, 0, 0]
[16, 2, 7, 155, 7, 156, 0, 0]
[16, 2, 7, 162, 7, 162, 0, 0]
[16, 2, 7, 169, 7, 167, 0, 0]
[16, 2, 7, 165, 7, 164, 0, 0]
[16, 2, 7, 162, 7, 161, 0, 0]
[16, 2, 7, 160, 7, 161, 0, 0]
[16, 2, 7, 158, 7, 161, 0, 0]
[16, 2, 7, 158, 7, 159, 0, 0]
[16, 2, 7, 162, 7, 161, 0, 0]
[19, 2, 92, 94, 96, 97, 98, 5]
[16, 2, 7, 161, 7, 161, 0, 0]
[16, 2, 7, 160, 7, 161, 0, 0]
[17, 2, 158, 159, 160, 162, 163, 0]
[16, 2, 7, 167, 7, 165, 0, 0]
[16, 2, 7, 175, 7, 170, 0, 0]
[16, 2, 7, 181, 7, 174, 0, 0]
[16, 2, 7, 193, 7, 182, 0, 0]
[16, 2, 7, 203, 7, 190, 0, 0]
[16, 2, 7, 200, 7, 189, 0, 0]
[16, 2, 7, 193, 7, 182, 0, 0]
[16, 2, 7, 188, 7, 179, 0, 0]
[16, 2, 7, 184, 7, 177, 0, 0]
[16, 2, 7, 183, 7, 177, 0, 0]
[16, 2, 7, 196, 7, 185, 0, 0]
[16, 2, 7, 214, 7, 197, 0, 0]
[16, 2, 7, 230, 7, 206, 0, 0]
[16, 2, 7, 241, 7, 217, 0, 0]
[16, 2, 7, 247, 7, 222, 0, 0]
[16, 2, 7, 238, 7, 216, 0, 0]
[16, 2, 7, 226, 7, 208, 0, 0]
[16, 2, 7, 222, 7, 204, 0, 0]
[19, 2, 98, 98, 98, 97, 96, 5]
[16, 2, 7, 220, 7, 203, 0, 0]
[17, 2, 163, 164, 164, 165, 165, 0]
[16, 2, 7, 225, 7, 207, 0, 0]
